Model,rep,rTr,rTs
EMDs,4,0.999786804027276,0.758956118419133
EMDs,8,0.999789583712599,0.772269131899754
EMDs,6,0.999786098548264,0.772536338590405
EMDs,3,0.999816779014589,0.746904927892386
EMDs,7,0.999804644489284,0.799143573598983
EMDs,5,0.999816105259538,0.772306859557521
EMDs,1,0.99982425898368,0.74740087690432
EMDs,9,0.999785119842257,0.775394222763864
EMDs,10,0.999791115625944,0.784003716171155
RxnNormMDs,5,0.999822255035038,0.749670453433979
RxnNormMDs,10,0.999806825852758,0.775628886869135
RxnNormMDs,1,0.999830666261419,0.729292126734862
RxnNormMDs,8,0.999822370508301,0.754912154791132
RxnNormMDs,3,0.999827175683068,0.72681091283762
RxnNormMDs,2,0.999809982023508,0.773224498684134
RxnNormMDs,4,0.999807468177561,0.742573035254555
RxnNormMDs,9,0.999825333324437,0.758699518746321
RxnNormMDs,7,0.999819542159532,0.780939370608218
RxnNormMDs,6,0.999811677120969,0.756896285339226
BaselineMM,10,0.368331776090644,0.0734564035477271
BaselineMM,9,0.361919559590544,0.104428401919019
BaselineMM,8,0.359738621789069,0.105194243818977
EMDs,1,0.999744023940284,0.735567964712147
EMDs,9,0.999711656655283,0.768334258325993
EMDs,7,0.999724991732165,0.784025240506857
